file_name,fold,class_names,class_labels
video1.png,1,Bausch & Lomb Renu All in One Multi Purpose Solution,0
video2.png,1,Bausch & Lomb Renu All in One Multi Purpose Solution,0
video3.png,1,Bausch & Lomb Renu All in One Multi Purpose Solution,0
video4.png,1,Bausch & Lomb Renu All in One Multi Purpose Solution,0
video1.png,2,Chex Mix,1
video2.png,2,Chex Mix,1
video3.png,2,Chex Mix,1
video4.png,2,Chex Mix,1
video1.png,3,Gardetto's Original Recipe,2
video2.png,3,Gardetto's Original Recipe,2
video3.png,3,Gardetto's Original Recipe,2
video4.png,3,Gardetto's Original Recipe,2
video1.png,4,Honey Nut Cheerios (General Mills),3
video2.png,4,Honey Nut Cheerios (General Mills),3
video3.png,4,Honey Nut Cheerios (General Mills),3
video4.png,4,Honey Nut Cheerios (General Mills),3
video1.png,5,Wrigleys Extra peppermint gum,4
video2.png,5,Wrigleys Extra peppermint gum,4
video3.png,5,Wrigleys Extra peppermint gum,4
video4.png,5,Wrigleys Extra peppermint gum,4
video1.png,6,doublemint gum,5
video2.png,6,doublemint gum,5
video3.png,6,doublemint gum,5
video4.png,6,doublemint gum,5
video1.png,7,big red gum,6
video2.png,7,big red gum,6
video3.png,7,big red gum,6
video4.png,7,big red gum,6
video1.png,8,Vicks DayQuil LiquiCaps,7
video2.png,8,Vicks DayQuil LiquiCaps,7
video3.png,8,Vicks DayQuil LiquiCaps,7
video4.png,8,Vicks DayQuil LiquiCaps,7
video1.png,9,Cheez-It,8
video2.png,9,Cheez-It,8
video3.png,9,Cheez-It,8
video4.png,9,Cheez-It,8
video1.png,10,Hershey Milk Chocolate with Almonds,9
video2.png,10,Hershey Milk Chocolate with Almonds,9
video3.png,10,Hershey Milk Chocolate with Almonds,9
video4.png,10,Hershey Milk Chocolate with Almonds,9
video1.png,11,Twix Cookie Bar,10
video2.png,11,Twix Cookie Bar,10
video3.png,11,Twix Cookie Bar,10
video4.png,11,Twix Cookie Bar,10
video1.png,12,Snickers,11
video2.png,12,Snickers,11
video3.png,12,Snickers,11
video4.png,12,Snickers,11
video1.png,13,CLOROX ULTRA LIQUID REG,12
video2.png,13,CLOROX ULTRA LIQUID REG,12
video3.png,13,CLOROX ULTRA LIQUID REG,12
video4.png,13,CLOROX ULTRA LIQUID REG,12
video1.png,14,CLOROX 2 LIQUID 44 OZ,13
video2.png,14,CLOROX 2 LIQUID 44 OZ,13
video3.png,14,CLOROX 2 LIQUID 44 OZ,13
video4.png,14,CLOROX 2 LIQUID 44 OZ,13
video1.png,15,Gatorade Lemon-Lime,14
video2.png,15,Gatorade Lemon-Lime,14
video3.png,15,Gatorade Lemon-Lime,14
video4.png,15,Gatorade Lemon-Lime,14
video1.png,16,SNYDER PRETZEL OLD TYME,15
video2.png,16,SNYDER PRETZEL OLD TYME,15
video3.png,16,SNYDER PRETZEL OLD TYME,15
